PurchaseOrderID,DueDate,ProductID,OrderQty,UnitPrice,LineTotal,ReceivedQty,RejectedQty
1,2011-04-30 00:00:00.000,1,4,50.26,201.04,3,0
2,2011-04-30 00:00:00.000,359,3,45.12,135.36,3,0
2,2011-04-30 00:00:00.000,360,3,45.5805,136.7415,3,0
3,2011-04-30 00:00:00.000,530,550,16.086,8847.3,550,0
4,2011-04-30 00:00:00.000,4,3,57.0255,171.0765,2,1
5,2011-05-14 00:00:00.000,512,550,37.086,20397.3,550,0
6,2011-05-14 00:00:00.000,513,550,26.5965,14628.075,468,0
7,2011-05-14 00:00:00.000,317,550,27.0585,14882.175,550,0
7,2011-05-14 00:00:00.000,318,550,33.579,18468.45,550,0
7,2011-05-14 00:00:00.000,319,550,46.0635,25334.925,550,0
8,2011-05-14 00:00:00.000,403,3,47.4705,142.4115,3,0
8,2011-05-14 00:00:00.000,404,3,45.3705,136.1115,3,0
8,2011-05-14 00:00:00.000,405,3,49.644,148.932,3,0
8,2011-05-14 00:00:00.000,406,3,45.3705,136.1115,3,0
8,2011-05-14 00:00:00.000,407,3,43.2705,129.8115,3,0
9,2011-12-28 00:00:00.000,422,3,47.523,142.569,3,0
9,2011-12-28 00:00:00.000,423,3,45.423,136.269,3,0
9,2011-12-28 00:00:00.000,424,3,49.6965,149.0895,3,0
9,2011-12-28 00:00:00.000,425,3,45.423,136.269,3,0
9,2011-12-28 00:00:00.000,426,3,43.323,129.969,3,0
10,2011-12-28 00:00:00.000,320,3,47.4705,142.4115,3,0
10,2011-12-28 00:00:00.000,321,3,42.798,128.394,3,0
10,2011-12-28 00:00:00.000,322,60,25.4205,1525.23,60,0
11,2011-12-28 00:00:00.000,438,3,41.223,123.669,3,0
11,2011-12-28 00:00:00.000,439,3,45.4965,136.4895,3,0
11,2011-12-28 00:00:00.000,440,3,41.223,123.669,3,0
11,2011-12-28 00:00:00.000,441,3,39.123,117.369,3,0
12,2011-12-28 00:00:00.000,941,550,62.9895,34644.225,550,82
